Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
205	53.2716381	7.4587572		Germany	BA.2.86*	5344AA	DOH
206	53.95694255	-97.84823872487668		Norway	BA.2.86*	5344AA	DOH
207	12.6270148	99.95103		Thailand	BA.2.86*	5344AA	DOH
208	37.23512285	127.00921616567815		South Korea	EG.5*	76227F	DOH
209	12.1336618	-68.2761892		Netherlands	BA.2.86*	5344AA	DOH
210	-27.7853361	30.7897384		South Africa	Omicron	2a6291	DOH
211	41.1338198	16.7632158		Italy	Omicron	2a6291	DOH
212	-27.7853361	30.7897384		South Africa	BA.2.86*	5344AA	DOH
213	13.2099268	120.6038962		Philippines	BA.2.86*	5344AA	DOH
214	24.8865027	67.1440768		Pakistan	BA.2.86*	5344AA	DOH
215	38.9637	35.2433		Turkey	XBB.1.5*	2B7A6B	DOH
216	13.2099268	120.6038962		Philippines	Omicron	2a6291	DOH
217	36.1634261	137.9289785		Japan	EG.5*	76227F	DOH
218	43.3467411	77.0115631		Kazakhstan	XBB.1.9.1*	84034F	DOH
219	41.1338198	16.7632158		Italy	BA.2.86*	5344AA	DOH
220	13.2099268	120.6038962		Philippines	XBB.1.5*	2B7A6B	DOH
221	1.352975	103.99605546603934		Singapore	BA.2.86*	5344AA	DOH
222	15.9266657	107.9650855		Vietnam	BA.2.86*	5344AA	DOH
223	53.2716381	7.4587572		Germany	XBB*	04329B	DOH
224	53.2716381	7.4587572		Germany	EG.5*	76227F	DOH
225	-8.7441455	115.1663723		Indonesia	BA.2.86*	5344AA	DOH
226	-27.7853361	30.7897384		South Africa	XBB.1.5*	2B7A6B	DOH
227	53.2716381	7.4587572		Germany	Omicron	2a6291	DOH
228	13.2099268	120.6038962		Philippines	EG.5*	76227F	DOH
229	13.2099268	120.6038962		Philippines	XBB*	04329B	DOH
230	12.6270148	99.95103		Thailand	BA.2.86*	5344AA	DOH
231	13.2099268	120.6038962		Philippines	BA.2.86*	5344AA	DOH
232	23.61298745	89.51132630000001		Bangladesh	BA.2.86*	5344AA	DOH
233	34.86793	48.5428723		Iran	BA.2.86*	5344AA	DOH
234	42.3743325	-71.0302794		United States	BA.2.86*	5344AA	DOH
235	13.2099268	120.6038962		Philippines	Omicron	2a6291	DOH
236	13.2099268	120.6038962		Philippines	BA.2.86*	5344AA	DOH
237	12.1336618	-68.2761892		Netherlands	BA.2.86*	5344AA	DOH
238	47.7930175	12.9950154		Austria	Omicron	2a6291	DOH
239	53.2716381	7.4587572		Germany	XBB*	04329B	DOH
240	53.2716381	7.4587572		Germany	EG.5*	76227F	DOH
241	21.0862162	79.0637884		India	XBB*	04329B	DOH
242	47.7930175	12.9950154		Austria	XBB.1.16*	9B0E0E	DOH
243	21.0862162	79.0637884		India	Omicron	2a6291	DOH
244	-27.7853361	30.7897384		South Africa	BA.2.86*	5344AA	DOH
245	49.0079	-2.5508		France	XBB.1.5*	2B7A6B	DOH
246	49.0079	-2.5508		France	Omicron	2a6291	DOH
247	12.6270148	99.95103		Thailand	Omicron	2a6291	DOH
248	12.6270148	99.95103		Thailand	EG.5*	76227F	DOH
249	37.23512285	127.00921616567815		South Korea	XBB*	04329B	DOH
250	37.23512285	127.00921616567815		South Korea	BA.2.86*	5344AA	DOH
251	37.23512285	127.00921616567815		South Korea	Omicron	2a6291	DOH
252	34.86793	48.5428723		Iran	BA.2.86*	5344AA	DOH
253	53.2716381	7.4587572		Germany	XBB*	04329B	DOH
254	53.2716381	7.4587572		Germany	EG.5*	76227F	DOH
255	49.0079	-2.5508		France	XBB*	04329B	DOH
256	37.23512285	127.00921616567815		South Korea	EG.5*	76227F	DOH
257	12.6270148	99.95103		Thailand	BA.2.86*	5344AA	DOH
258	22.3160874	113.93647839996052		China	EG.5*	76227F	DOH
259	53.2716381	7.4587572		Germany	Omicron	2a6291	DOH
260	11.55351865	104.8444244551626		Cambodia	BA.2.86*	5344AA	DOH
261	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
262	53.91158075	-8.81314269279339		Ireland	Omicron	2a6291	DOH
263	11.55351865	104.8444244551626		Cambodia	Omicron	2a6291	DOH
264	53.91158075	-8.81314269279339		Ireland	BA.2.86*	5344AA	DOH
265	46.7985624	8.2319736		Switzerland	XBB.1.9.1*	84034F	DOH
266	47.7930175	12.9950154		Austria	BA.2.86*	5344AA	DOH
267	30.9496969	-91.5824929		Angola	XBB.2.3*	035F66	DOH
268	30.9496969	-91.5824929		Angola	Omicron	2a6291	DOH
269	30.9496969	-91.5824929		Angola	XBB*	04329B	DOH
270	-19.302233	34.9144977		Mozambique	BA.2.86*	5344AA	DOH
271	13.2099268	120.6038962		Philippines	BA.2.86*	5344AA	DOH
272	4.1898549	73.5271565		Maldives	BA.2.86*	5344AA	DOH
273	30.9496969	-91.5824929		Angola	BA.2.86*	5344AA	DOH
274	4.1898549	73.5271565		Maldives	Omicron	2a6291	DOH
275	22.3160874	113.93647839996052		China	BA.2.86*	5344AA	DOH
276	41.1338198	16.7632158		Italy	Omicron	2a6291	DOH
277	5.6164609	-0.1770993		Egypt	XBB.2.3*	035F66	DOH
278	41.1338198	16.7632158		Italy	EG.5*	76227F	DOH
279	7.18250095	79.87614047745092		Sri Lanka	BA.2.86*	5344AA	DOH
280	5.6164609	-0.1770993		Egypt	BA.2.86*	5344AA	DOH
281	41.1338198	16.7632158		Italy	XBB.1.9.2*	76750F	DOH
282	13.2099268	120.6038962		Philippines	BA.2.86*	5344AA	DOH
283	5.6164609	-0.1770993		Egypt	Omicron	2a6291	DOH
284	24.9415476	46.7119808		Saudi Arabia	EG.5*	76227F	DOH
285	38.9637	35.2433		Turkey	BA.2.86*	5344AA	DOH
286	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
287	43.3568493	-1.7930754		Spain	BA.2.86*	5344AA	DOH
288	50.63575965	5.426222477561027		Belgium	BA.2.86*	5344AA	DOH
289	12.6270148	99.95103		Thailand	Omicron	2a6291	DOH
290	12.6270148	99.95103		Thailand	XBB*	04329B	DOH
291	53.2716381	7.4587572		Germany	BA.2.86*	5344AA	DOH
292	4.1898549	73.5271565		Maldives	BA.2.86*	5344AA	DOH
293	12.6270148	99.95103		Thailand	BA.2.86*	5344AA	DOH
294	-8.7441455	115.1663723		Indonesia	BA.2.86*	5344AA	DOH
295	12.6270148	99.95103		Thailand	XBB.1.9.1*	84034F	DOH
296	42.3743325	-71.0302794		United States	BA.2.86*	5344AA	DOH
297	7.18250095	79.87614047745092		Sri Lanka	BA.2.86*	5344AA	DOH
298	13.2099268	120.6038962		Philippines	BA.2.86*	5344AA	DOH
299	41.1338198	16.7632158		Italy	EG.5*	76227F	DOH
300	53.2716381	7.4587572		Germany	XBB*	04329B	DOH
301	53.2716381	7.4587572		Germany	EG.5*	76227F	DOH
302	22.350627	114.1849161		Hong Kong (People's Republic of China)	BA.2.86*	5344AA	DOH
303	53.2716381	7.4587572		Germany	Omicron	2a6291	DOH
304	5.9572597	116.0657877		Malaysia	BA.2.86*	5344AA	DOH
305	13.2099268	120.6038962		Philippines	BA.2.86*	5344AA	DOH
306	35.7626211	10.7545542		Tunisia	BA.2.86*	5344AA	DOH
307	12.1336618	-68.2761892		Netherlands	BA.2.86*	5344AA	DOH
308	23.61298745	89.51132630000001		Bangladesh	BA.2.86*	5344AA	DOH
309	24.9415476	46.7119808		Saudi Arabia	BA.2.86*	5344AA	DOH
310	24.8865027	67.1440768		Pakistan	BA.2.86*	5344AA	DOH
311	39.47644	-87.1003925		Brazil	BA.2.86*	5344AA	DOH
312	39.47644	-87.1003925		Brazil	Omicron	2a6291	DOH
313	28.2127094	83.6658884		Nepal	BA.2.86*	5344AA	DOH
314	50.1152569	14.284724		Czechia	BA.2.86*	5344AA	DOH
315	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
316	-27.3856545	153.1184918		Australia	BA.2.86*	5344AA	DOH
317	23.61298745	89.51132630000001		Bangladesh	BA.2.86*	5344AA	DOH
318	59.8143342	30.32107		Russia	BA.2.86*	5344AA	DOH
319	9.0067224	7.2723697		Nigeria	BA.2.86*	5344AA	DOH
320	42.3743325	-71.0302794		United States	BA.2.86*	5344AA	DOH
321	-8.7441455	115.1663723		Indonesia	BA.2.86*	5344AA	DOH
322	22.3160874	113.93647839996052		China	BA.2.86*	5344AA	DOH
323	24.9415476	46.7119808		Saudi Arabia	BA.2.86*	5344AA	DOH
324	37.23512285	127.00921616567815		South Korea	BA.2.86*	5344AA	DOH
