Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
117	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
94	47.7930175	12.9950154		Austria	BA.2.86*	5344AA	DOH
71	41.1338198	16.7632158		Italy	EG.5*	76227F	DOH
120	-8.7441455	115.1663723		Indonesia	LB.1*	85200C	DOH
94	5.6164609	-0.1770993		Egypt	BA.2.86*	5344AA	DOH
128	41.1338198	16.7632158		Italy	BA.2.86*	5344AA	DOH
71	5.6164609	-0.1770993		Egypt	BA.2.86*	5344AA	DOH
67	47.7930175	12.9950154		Austria	Other	E06666	DOH
128	42.3743325	-71.0302794		United States	JN.1.18*	B8AF37	DOH
75	53.2716381	7.4587572		Germany	Other	E06666	DOH
58	39.47644	-87.1003925		Brazil	EG.5*	76227F	DOH
9	22.3160874	113.93647839996052		China	Other	E06666	DOH
24	39.47644	-87.1003925		Brazil	XBB*	04329B	DOH
35	-27.7853361	30.7897384		South Africa	XBB*	04329B	DOH
7	5.9572597	116.0657877		Malaysia	Other	E06666	DOH
67	12.1336618	-68.2761892		Netherlands	BA.2.86*	5344AA	DOH
102	41.1338198	16.7632158		Italy	BA.2.86*	5344AA	DOH
61	42.3743325	-71.0302794		United States	XBB.1.9.1*	84034F	DOH
71	13.2099268	120.6038962		Philippines	BA.2.86*	5344AA	DOH
10	41.1338198	16.7632158		Italy	CH.1.1*	440760	DOH
40	21.0862162	79.0637884		India	XBB.2.3*	035F66	DOH
115	22.3160874	113.93647839996052		China	JN.1.18*	B8AF37	DOH
134	24.9415476	46.7119808		Saudi Arabia	Omicron	CB5C19	DOH
88	55.0356373	-1.7110967		United Kingdom	BA.2.86*	5344AA	DOH
111	28.2127094	83.6658884		Nepal	JN.1.18*	B8AF37	DOH
129	22.3160874	113.93647839996052		China	KP.3.1.1*	6C3CBF	DOH
6	5.612243	-0.1810685		Ethiopia	CH.1.1*	440760	DOH
95	24.8865027	67.1440768		Pakistan	BA.2.86*	5344AA	DOH
129	55.0356373	-1.7110967		United Kingdom	KP.3*	6E6190	DOH
